time_s,acceleration_g
0.000000,2.786981001e-04
0.005000,2.789315706e-04
0.010000,2.791648364e-04
0.015000,2.793978992e-04
0.020000,2.796307595e-04
0.025000,2.798634167e-04
0.030000,2.800958694e-04
0.035000,2.803281160e-04
0.040000,2.805601552e-04
0.045000,2.807919859e-04
0.050000,2.810236074e-04
0.055000,2.812550192e-04
0.060000,2.814862204e-04
0.065000,2.817172104e-04
0.070000,2.819479883e-04
0.075000,2.821785532e-04
0.080000,2.824089041e-04
0.085000,2.826390402e-04
0.090000,2.828689606e-04
0.095000,2.830986645e-04
0.100000,2.833281511e-04
0.105000,2.835574195e-04
0.110000,2.837864689e-04
0.115000,2.840152985e-04
0.120000,2.842439073e-04
0.125000,2.844722945e-04
0.130000,2.847004593e-04
0.135000,2.849284008e-04
0.140000,2.851561182e-04
0.145000,2.853836106e-04
0.150000,2.856108772e-04
0.155000,2.858379172e-04
0.160000,2.860647296e-04
0.165000,2.862913137e-04
0.170000,2.865176686e-04
0.175000,2.867437935e-04
0.180000,2.869696874e-04
0.185000,2.871953496e-04
0.190000,2.874207793e-04
0.195000,2.876459755e-04
0.200000,2.878709374e-04
0.205000,2.880956641e-04
0.210000,2.883201550e-04
0.215000,2.885444090e-04
0.220000,2.887684253e-04
0.225000,2.889922031e-04
0.230000,2.892157416e-04
0.235000,2.894390399e-04
0.240000,2.896620972e-04
0.245000,2.898849125e-04
0.250000,2.901074852e-04
0.255000,2.903298143e-04
0.260000,2.905518989e-04
0.265000,2.907737384e-04
0.270000,2.909953317e-04
0.275000,2.912166781e-04
0.280000,2.914377767e-04
0.285000,2.916586267e-04
0.290000,2.918792272e-04
0.295000,2.920995774e-04
0.300000,2.923196765e-04
0.305000,2.925395236e-04
0.310000,2.927591178e-04
0.315000,2.929784584e-04
0.320000,2.931975445e-04
0.325000,2.934163752e-04
0.330000,2.936349498e-04
0.335000,2.938532673e-04
0.340000,2.940713270e-04
0.345000,2.942891280e-04
0.350000,2.945066694e-04
0.355000,2.947239505e-04
0.360000,2.949409703e-04
0.365000,2.951577281e-04
0.370000,2.953742231e-04
0.375000,2.955904543e-04
0.380000,2.958064209e-04
0.385000,2.960221222e-04
0.390000,2.962375573e-04
0.395000,2.964527254e-04
0.400000,2.966676256e-04
0.405000,2.968822571e-04
0.410000,2.970966191e-04
0.415000,2.973107107e-04
0.420000,2.975245312e-04
0.425000,2.977380797e-04
0.430000,2.979513554e-04
0.435000,2.981643575e-04
0.440000,2.983770851e-04
0.445000,2.985895375e-04
0.450000,2.988017137e-04
0.455000,2.990136130e-04
0.460000,2.992252345e-04
0.465000,2.994365772e-04
0.470000,2.996476405e-04
0.475000,2.998584232e-04
0.480000,3.000689247e-04
0.485000,3.002791441e-04
0.490000,3.004890807e-04
0.495000,3.006987339e-04
0.500000,3.009081032e-04
0.505000,3.011171882e-04
0.510000,3.013259884e-04
0.515000,3.015345033e-04
0.520000,3.017427321e-04
0.525000,3.019506741e-04
0.530000,3.021583283e-04
0.535000,3.023656932e-04
0.540000,3.025727672e-04
0.545000,3.027795477e-04
0.550000,3.029860318e-04
0.555000,3.031922155e-04
0.560000,3.033980945e-04
0.565000,3.036036642e-04
0.570000,3.038089201e-04
0.575000,3.040138585e-04
0.580000,3.042184769e-04
0.585000,3.044227740e-04
0.590000,3.046267496e-04
0.595000,3.048304037e-04
0.600000,3.050337362e-04
0.605000,3.052367452e-04
0.610000,3.054394277e-04
0.615000,3.056417799e-04
0.620000,3.058437976e-04
0.625000,3.060454764e-04
0.630000,3.062468103e-04
0.635000,3.064477884e-04
0.640000,3.066483919e-04
0.645000,3.068485934e-04
0.650000,3.070483591e-04
0.655000,3.072476558e-04
0.660000,3.074464588e-04
0.665000,3.076447585e-04
0.670000,3.078425615e-04
0.675000,3.080398871e-04
0.680000,3.082367609e-04
0.685000,3.084332114e-04
0.690000,3.086292718e-04
0.695000,3.088249888e-04
0.700000,3.090204310e-04
0.705000,3.092156920e-04
0.710000,3.094108819e-04
0.715000,3.096061074e-04
0.720000,3.098014479e-04
0.725000,3.099969365e-04
0.730000,3.101925567e-04
0.735000,3.103882600e-04
0.740000,3.105840005e-04
0.745000,3.107797788e-04
0.750000,3.109756790e-04
0.755000,3.111718820e-04
0.760000,3.113686405e-04
0.765000,3.115662134e-04
0.770000,3.117647719e-04
0.775000,3.119643108e-04
0.780000,3.121646011e-04
0.785000,3.123652136e-04
0.790000,3.125656089e-04
0.795000,3.127652530e-04
0.800000,3.129636982e-04
0.805000,3.131605792e-04
0.810000,3.133555259e-04
0.815000,3.135480549e-04
0.820000,3.137375344e-04
0.825000,3.139232992e-04
0.830000,3.141049160e-04
0.835000,3.142825064e-04
0.840000,3.144569803e-04
0.845000,3.146300488e-04
0.850000,3.148039750e-04
0.855000,3.149811266e-04
0.860000,3.151634742e-04
0.865000,3.153521786e-04
0.870000,3.155473613e-04
0.875000,3.157480880e-04
0.880000,3.159525522e-04
0.885000,3.161584331e-04
0.890000,3.163633791e-04
0.895000,3.165655088e-04
0.900000,3.167637482e-04
0.905000,3.169577944e-04
0.910000,3.171475977e-04
0.915000,3.173324764e-04
0.920000,3.175102374e-04
0.925000,3.176767858e-04
0.930000,3.178265679e-04
0.935000,3.179537987e-04
0.940000,3.180539916e-04
0.945000,3.181250740e-04
0.950000,3.181675179e-04
0.955000,3.181833829e-04
0.960000,3.181747231e-04
0.965000,3.181421270e-04
0.970000,3.180840919e-04
0.975000,3.179975178e-04
0.980000,3.178791030e-04
0.985000,3.177270748e-04
0.990000,3.175426247e-04
0.995000,3.173305968e-04
1.000000,3.170992805e-04
1.005000,3.168594859e-04
1.010000,3.166233929e-04
1.015000,3.164038497e-04
1.020000,3.162147016e-04
1.025000,3.160721751e-04
1.030000,3.159964035e-04
1.035000,3.160113374e-04
1.040000,3.161412862e-04
1.045000,3.164037219e-04
1.050000,3.168004515e-04
1.055000,3.173115518e-04
1.060000,3.178968102e-04
1.065000,3.185068001e-04
1.070000,3.191008110e-04
1.075000,3.196641884e-04
1.080000,3.202162718e-04
1.085000,3.208037282e-04
1.090000,3.214813945e-04
1.095000,3.222898432e-04
1.100000,3.232413338e-04
1.105000,3.243215551e-04
1.110000,3.255056525e-04
1.115000,3.267787579e-04
1.120000,3.281489052e-04
1.125000,3.296455515e-04
1.130000,3.313066071e-04
1.135000,3.331644078e-04
1.140000,3.352411110e-04
1.145000,3.375562295e-04
1.150000,3.401387398e-04
1.155000,3.430309534e-04
1.160000,3.462756170e-04
1.165000,3.498893949e-04
1.170000,3.538371789e-04
1.175000,3.580242240e-04
1.180000,3.623139734e-04
1.185000,3.665637359e-04
1.190000,3.706583585e-04
1.195000,3.745222935e-04
1.200000,3.781038150e-04
1.205000,3.813435316e-04
1.210000,3.841508044e-04
1.215000,3.864082342e-04
1.220000,3.880075914e-04
1.225000,3.889007265e-04
1.230000,3.891385875e-04
1.235000,3.888769763e-04
1.240000,3.883455874e-04
1.245000,3.877961394e-04
1.250000,3.874548038e-04
1.255000,3.874991408e-04
1.260000,3.880646658e-04
1.265000,3.892703814e-04
1.270000,3.912442081e-04
1.275000,3.941306993e-04
1.280000,3.980717497e-04
1.285000,4.031614788e-04
1.290000,4.093860419e-04
1.295000,4.165668090e-04
1.300000,4.243298911e-04
1.305000,4.321229768e-04
1.310000,4.392878896e-04
1.315000,4.451744552e-04
1.320000,4.492565292e-04
1.325000,4.511991621e-04
1.330000,4.508396239e-04
1.335000,4.480845314e-04
1.340000,4.427735196e-04
1.345000,4.345889359e-04
1.350000,4.230784975e-04
1.355000,4.078028255e-04
1.360000,3.885477922e-04
1.365000,3.654929203e-04
1.370000,3.392336582e-04
1.375000,3.106203818e-04
1.380000,2.804699720e-04
1.385000,2.492780165e-04
1.390000,2.170710016e-04
1.395000,1.834796197e-04
1.400000,1.480142128e-04
1.405000,1.104300206e-04
1.410000,7.102696444e-05
1.415000,3.075362391e-05
1.420000,-8.936476029e-06
1.425000,-4.643163775e-05
1.430000,-8.039106083e-05
1.435000,-1.101058782e-04
1.440000,-1.356663348e-04
1.445000,-1.578779339e-04
1.450000,-1.779592970e-04
1.455000,-1.971352575e-04
1.460000,-2.162796140e-04
1.465000,-2.357428756e-04
1.470000,-2.554233134e-04
1.475000,-2.750340872e-04
1.480000,-2.944327384e-04
1.485000,-3.138549740e-04
1.490000,-3.339457427e-04
1.495000,-3.555798759e-04
1.500000,-3.795578194e-04
1.505000,-4.063003430e-04
1.510000,-4.356365599e-04
1.515000,-4.667122991e-04
1.520000,-4.979915513e-04
1.525000,-5.273162259e-04
1.530000,-5.520212966e-04
1.535000,-5.691323883e-04
1.540000,-5.756615470e-04
1.545000,-5.689626040e-04
1.550000,-5.470522511e-04
1.555000,-5.088004957e-04
1.560000,-4.539623256e-04
1.565000,-3.831186452e-04
1.570000,-2.976402801e-04
1.575000,-1.997308126e-04
1.580000,-9.246751761e-05
1.585000,2.035246407e-05
1.590000,1.347272151e-04
1.595000,2.472940092e-04
1.600000,3.561936424e-04
1.605000,4.614780755e-04
1.610000,5.646818479e-04
1.615000,6.675531006e-04
1.620000,7.704197689e-04
1.625000,8.709742692e-04
1.630000,9.641802092e-04
1.635000,1.043526650e-03
1.640000,1.103202362e-03
1.645000,1.140277226e-03
1.650000,1.155929870e-03
1.655000,1.155189145e-03
1.660000,1.145346477e-03
1.665000,1.133795782e-03
1.670000,1.126273696e-03
1.675000,1.126218727e-03
1.680000,1.135393881e-03
1.685000,1.155314356e-03
1.690000,1.188667458e-03
1.695000,1.239943300e-03
1.700000,1.314868701e-03
1.705000,1.418773248e-03
1.710000,1.554490347e-03
1.715000,1.720624263e-03
1.720000,1.910914035e-03
1.725000,2.115033932e-03
1.730000,2.320631108e-03
1.735000,2.515917999e-03
1.740000,2.691903904e-03
1.745000,2.843473619e-03
1.750000,2.968967595e-03
1.755000,3.068516626e-03
1.760000,3.141892255e-03
1.765000,3.186840710e-03
1.770000,3.198683976e-03
1.775000,3.171464559e-03
1.780000,3.100274396e-03
1.785000,2.983886820e-03
1.790000,2.826610194e-03
1.795000,2.638503571e-03
1.800000,2.433691785e-03
1.805000,2.227290467e-03
1.810000,2.032093102e-03
1.815000,1.856371461e-03
1.820000,1.703731504e-03
1.825000,1.575053069e-03
1.830000,1.471512322e-03
1.835000,1.397063971e-03
1.840000,1.358930146e-03
1.845000,1.365599800e-03
1.850000,1.423133885e-03
1.855000,1.531507839e-03
1.860000,1.682766778e-03
1.865000,1.861871373e-03
1.870000,2.049771757e-03
1.875000,2.227223779e-03
1.880000,2.377717280e-03
1.885000,2.488634756e-03
1.890000,2.550874397e-03
1.895000,2.557942309e-03
1.900000,2.505516776e-03
1.905000,2.391829910e-03
1.910000,2.218441764e-03
